Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
BUNDESLIGA,22/10/2021,1. FSV Mainz 05,FC Augsburg,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/10/2021,Arminia Bielefeld,Borussia Dortmund,1,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/10/2021,FC Bayern München,TSG 1899 Hoffenheim,4,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/10/2021,Hertha BSC,Borussia Mönchengladbach,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/10/2021,RB Leipzig,SpVgg Greuther Fürth 1903,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/10/2021,VfL Wolfsburg,SC Freiburg,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,24/10/2021,1. FC Köln,Bayer 04 Leverkusen,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,24/10/2021,VfB Stuttgart,1. FC Union Berlin,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,24/10/2021,VfL Bochum 1848,Eintracht Frankfurt,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,29/10/2021,TSG 1899 Hoffenheim,Hertha BSC,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,30/10/2021,1. FC Union Berlin,FC Bayern München,2,5,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,30/10/2021,Arminia Bielefeld,1. FSV Mainz 05,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,30/10/2021,Bayer 04 Leverkusen,VfL Wolfsburg,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,30/10/2021,Borussia Dortmund,1. FC Köln,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,30/10/2021,Eintracht Frankfurt,RB Leipzig,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,30/10/2021,SC Freiburg,SpVgg Greuther Fürth 1903,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,31/10/2021,Borussia Mönchengladbach,VfL Bochum 1848,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,31/10/2021,FC Augsburg,VfB Stuttgart,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/11/2021,1. FSV Mainz 05,Borussia Mönchengladbach,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/11/2021,FC Bayern München,SC Freiburg,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/11/2021,RB Leipzig,Borussia Dortmund,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/11/2021,VfB Stuttgart,Arminia Bielefeld,0,1,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/11/2021,VfL Bochum 1848,TSG 1899 Hoffenheim,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/11/2021,VfL Wolfsburg,FC Augsburg,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,07/11/2021,1. FC Köln,1. FC Union Berlin,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,07/11/2021,Hertha BSC,Bayer 04 Leverkusen,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,07/11/2021,SpVgg Greuther Fürth 1903,Eintracht Frankfurt,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/11/2021,FC Augsburg,FC Bayern München,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/11/2021,1. FC Union Berlin,Hertha BSC,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/11/2021,Arminia Bielefeld,VfL Wolfsburg,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/11/2021,Bayer 04 Leverkusen,VfL Bochum 1848,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/11/2021,Borussia Dortmund,VfB Stuttgart,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/11/2021,Borussia Mönchengladbach,SpVgg Greuther Fürth 1903,4,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/11/2021,TSG 1899 Hoffenheim,RB Leipzig,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/11/2021,1. FSV Mainz 05,1. FC Köln,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/11/2021,SC Freiburg,Eintracht Frankfurt,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,26/11/2021,VfB Stuttgart,1. FSV Mainz 05,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/11/2021,1. FC Köln,Borussia Mönchengladbach,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/11/2021,FC Bayern München,Arminia Bielefeld,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/11/2021,Hertha BSC,FC Augsburg,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/11/2021,SpVgg Greuther Fürth 1903,TSG 1899 Hoffenheim,3,6,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/11/2021,VfL Bochum 1848,SC Freiburg,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/11/2021,VfL Wolfsburg,Borussia Dortmund,1,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/11/2021,Eintracht Frankfurt,1. FC Union Berlin,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/11/2021,RB Leipzig,Bayer 04 Leverkusen,1,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,03/12/2021,1. FC Union Berlin,RB Leipzig,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,04/12/2021,1. FSV Mainz 05,VfL Wolfsburg,3,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,04/12/2021,Arminia Bielefeld,1. FC Köln,1,1,D,BUNDESLIGA,2021-22,openfootball
